geneName,logFC,adj.P.Val,significance
CLEC4M,-3.262604477834092,5.070483554144332e-119,DOWN Significant
LINC01093,-4.6871380061347985,1.2105752388936907e-96,DOWN Significant
RP11-889I17.2,-5.090486292731939,3.863354926389333e-81,DOWN Significant
CLEC4G,-4.544677239846382,2.6794359868572105e-76,DOWN Significant
FCN2,-4.433088357279578,9.93971402892794e-76,DOWN Significant
GDF2,-2.943946022839741,4.320009225993039e-71,DOWN Significant
RP11-103C3.4,-4.75516378877319,4.060689367837195e-62,DOWN Significant
KCNN2,-2.1726035529449113,1.2078811138356626e-60,DOWN Significant
DBH,-2.2957820631068087,4.709414346761837e-59,DOWN Significant
CLEC1B,-3.6728993837582085,1.053739446110464e-56,DOWN Significant
RP11-657O9.1,-1.7239967249089228,4.681247461855994e-55,DOWN Significant
RP11-830F9.5,-1.4749415510864217,6.68344613045917e-55,DOWN Significant
COLEC10,-3.2522633895385202,3.7856320068441305e-54,DOWN Significant
FLAD1,1.836503655548134,7.06679458523027e-54,UP Significant
LINC01818,-1.0487193210372039,1.5740302183124088e-52,DOWN Significant
MARCO,-5.061568870833211,2.04749847729595e-52,DOWN Significant
BMPER,-1.670677293252191,1.2204447511507418e-47,DOWN Significant
GPM6A,-1.6517901433881041,1.2204447511507418e-47,DOWN Significant
STAB2,-1.3476842613992726,3.273092869718287e-47,DOWN Significant
CXCL14,-4.075114213385658,2.025926433542464e-46,DOWN Significant
SFRP1,-1.0909644870066944,1.2411224895399167e-44,DOWN Significant
EEF1AKNMT,1.6298757386433538,1.8845011565392574e-44,UP Significant
CLTRN,-3.1190072868962497,1.8845011565392574e-44,DOWN Significant
PRKAG1,1.054377166946101,3.9894789048500166e-44,UP Significant
TMCO1,1.6460751497208745,1.021076184971499e-43,UP Significant
SCNM1,1.9310464886107352,2.338950967214172e-43,UP Significant
PTH1R,-3.2317442337878584,1.0663534898491996e-42,DOWN Significant
CYP26A1,-1.552676760471231,4.6490368984843874e-42,DOWN Significant
RSPO3,-1.0853410451479273,1.2134611523702472e-41,DOWN Significant
PLVAP,3.4275758965751764,1.4644218163809415e-41,UP Significant
CBFA2T3,-1.5342623619307596,4.592741770303506e-41,DOWN Significant
MSTO1,2.173281155083335,1.2280957745816196e-40,UP Significant
IP6K1,1.7623838920670716,1.6283986562373494e-40,UP Significant
VIPR1,-2.8310950587281303,5.977885458775197e-40,DOWN Significant
AADAT,-2.2689908011720004,9.227978837716228e-40,DOWN Significant
VPS72,1.9803637556954357,2.0349609169670367e-39,UP Significant
PDCD6,1.2010093913043614,5.739458407253989e-39,UP Significant
CYP1A2,-5.701696433045694,9.172874148261632e-39,DOWN Significant
ORMDL2,1.4652321029203428,1.1496168186486622e-38,UP Significant
RP11-62P16.1,-1.3814225675704703,1.210983944143869e-38,DOWN Significant
C6orf89,1.5178739419475522,1.2619025799078388e-38,UP Significant
IGFALS,-3.941765672784061,2.5814109159158095e-38,DOWN Significant
CHST4,-1.9474834860223895,2.680494279947577e-38,DOWN Significant
RIPOR3,-1.5844160352877665,2.734242782367314e-38,DOWN Significant
SUPT4H1,1.3468490584468027,3.171948657053698e-38,UP Significant
CCL14,-2.550387535108621,7.667558682965209e-38,DOWN Significant
CCT3,2.0959777000595174,8.396740497645719e-38,UP Significant
AP3B1,1.2898844834623495,8.544934090845854e-38,UP Significant
DCTN2,1.3895206836042133,1.3543927672370756e-37,UP Significant
CTC-537E7.3,-1.3327402757139448,1.3652081583559585e-37,DOWN Significant
TAF9,1.381110722109871,1.3652081583559585e-37,UP Significant
HSPB1,2.4415312675034864,1.5059484479419945e-37,UP Significant
MRPS23,1.6544075225259784,1.7866574670321712e-37,UP Significant
CRHBP,-4.375276695810443,2.2821658014085556e-37,DOWN Significant
ADAMTS13,-2.1337406690677065,5.367050783035004e-37,DOWN Significant
PIGT,1.8261715787471875,5.900259497645271e-37,UP Significant
RRP9,1.4741589059021818,7.028875934724045e-37,UP Significant
NHP2,1.3014335398726011,1.0136342347794653e-36,UP Significant
DDX41,1.0908048958648138,1.2440428113772337e-36,UP Significant
SMAD2,1.269939266360451,1.260140444739411e-36,UP Significant
RBCK1,1.475862145973581,2.2523426560601734e-36,UP Significant
NTF3,-1.7284122743100383,4.075506843675488e-36,DOWN Significant
GBA,2.0112874864478965,6.473176734670661e-36,UP Significant
FCN3,-5.120445282681981,6.475396121222335e-36,DOWN Significant
SLC25A39,1.5601441889917842,7.099746424451335e-36,UP Significant
MT1JP,-1.3900680008415833,8.071416806731704e-36,DOWN Significant
GNS,1.4783645533827285,8.879924635679069e-36,UP Significant
DEDD,1.4847225230541747,1.0031872680360859e-35,UP Significant
NME1,1.6265267963697,1.9367592996357175e-35,UP Significant
ZNF207,1.444367080497344,2.0471289473273043e-35,UP Significant
SLC38A6,1.4916404855565517,3.7791533215353907e-35,UP Significant
PAMR1,-1.4923892647208512,4.352120008501104e-35,DOWN Significant
NDST1,2.0021411000575733,4.520469251812775e-35,UP Significant
CDC23,1.441687453831396,5.564126693743151e-35,UP Significant
CDKN3,3.619771506937378,6.043726449436725e-35,UP Significant
RHEB,1.1431178776313926,7.353021334179437e-35,UP Significant
FTSJ3,1.3803389073516104,7.946637790545811e-35,UP Significant
MFSD5,1.3982325869165808,7.983418676740242e-35,UP Significant
RFX5,1.849644128089242,8.362492802358757e-35,UP Significant
TXNDC9,1.2852297117828195,8.86816799328815e-35,UP Significant
CCT5,1.6140595917063028,9.4116721254133e-35,UP Significant
LYVE1,-2.038585134859623,1.418571645795804e-34,DOWN Significant
BCO2,-3.4418015726656477,1.668427391655692e-34,DOWN Significant
NUDCD3,1.3485318736172225,2.2818628492574855e-34,UP Significant
PSMD4,1.6650611442801555,2.5899406228549373e-34,UP Significant
ARFGEF2,1.147884920519589,3.254245970206688e-34,UP Significant
NUB1,1.119374642440952,3.6138782561255735e-34,UP Significant
RP11-154I21.1,-2.510579251075462,4.091537815612715e-34,DOWN Significant
COPA,1.5090551657165596,4.40003082115252e-34,UP Significant
SFT2D2,1.3104472427156846,4.419528232398618e-34,UP Significant
NAGPA,1.3963182618995607,4.5725867744769255e-34,UP Significant
VPS33A,1.6185496887056792,5.206700430099577e-34,UP Significant
NAXE,1.509350170812466,6.298162953682612e-34,UP Significant
GPKOW,1.0116590603620201,6.6572404209374235e-34,UP Significant
PSMB5,1.0995148336892369,7.276399609777494e-34,UP Significant
NARS1,1.1302810077475014,7.927863684362156e-34,UP Significant
RARS1,1.2112863469382367,9.209279688564276e-34,UP Significant
NAA10,1.179763457947879,9.779388474619291e-34,UP Significant
RNF187,1.537995321602216,9.890135754956542e-34,UP Significant
COIL,1.2373108371428152,1.0575353652755794e-33,UP Significant
PRKAR2A,1.354005512751296,1.0614163190657507e-33,UP Significant
CANX,1.5739777066512515,1.1266710449762346e-33,UP Significant
SAE1,1.890763619505797,1.1523953797767303e-33,UP Significant
IK,1.1833523367879106,1.1836775692778734e-33,UP Significant
MRPL9,1.634893855507137,1.3191541163732265e-33,UP Significant
SLC41A3,1.6011746529070758,1.3580015846923516e-33,UP Significant
TSPAN17,1.5673171068433494,1.5336865086633614e-33,UP Significant
TRMT61A,1.2295908750924491,2.0755495259766833e-33,UP Significant
NME2,1.3985647720282328,2.08385977026846e-33,UP Significant
KPNA2,2.4876186366603665,2.183477793257911e-33,UP Significant
CFP,-3.2892351929204553,2.1840103219388164e-33,DOWN Significant
VPS45,1.5861366380771162,2.3555201907310224e-33,UP Significant
BLZF1,1.4508583513845017,2.387621283990405e-33,UP Significant
ATAD2,2.1629202923469486,2.8076928519855077e-33,UP Significant
MAPKAP1,1.148195004113036,3.125239877852437e-33,UP Significant
NR2C2AP,1.6186101966618387,4.1120500941671916e-33,UP Significant
CTNNA1,1.405884140246413,4.715777314933722e-33,UP Significant
SLC35A2,1.1559865022918605,4.816843045297095e-33,UP Significant
APIP,1.323752602208034,4.920553659738227e-33,UP Significant
RETREG2,1.455925605206601,7.278195647024778e-33,UP Significant
COMMD2,1.5986148888130511,8.273335265344977e-33,UP Significant
DNAJB11,1.7800930834940099,1.1933802159894863e-32,UP Significant
PDZD11,1.1926066585258441,1.2423540773672394e-32,UP Significant
TPPP2,-1.6363586209779473,1.4711084508650342e-32,DOWN Significant
BRMS1,1.216974093780609,1.4711084508650342e-32,UP Significant
RHOA,1.217785385468476,1.4711084508650342e-32,UP Significant
ILF2,1.9272264403101138,1.5229829602391618e-32,UP Significant
PEX11B,1.3641596742089384,2.259550676967166e-32,UP Significant
RNF220,1.3112391823816791,2.259550676967166e-32,UP Significant
TUBE1,-1.805313993749102,3.8320042176564324e-32,DOWN Significant
TOX4,1.3499831404432632,4.1599377623171215e-32,UP Significant
WDR55,1.0609045650474833,4.2513434316861304e-32,UP Significant
PSME3,1.6303225049968284,4.2513434316861304e-32,UP Significant
SNX12,1.1935447941980764,4.4295449779570185e-32,UP Significant
SCAMP3,1.9154293376510778,5.229804327573261e-32,UP Significant
TAF11,1.2649078482419873,5.229804327573261e-32,UP Significant
TMEM101,1.6273143521166369,6.277215415717266e-32,UP Significant
ABI1,1.0020853680227795,6.911863498822209e-32,UP Significant
FAM180A,-1.572709108099827,6.988575826522062e-32,DOWN Significant
POC1A,1.6100109523254544,6.988788617236606e-32,UP Significant
KIAA0100,1.9161415435041995,9.323802997741399e-32,UP Significant
PIGC,2.051696012960474,9.645531285644628e-32,UP Significant
PPIA,1.3022123945776052,9.733743452840157e-32,UP Significant
CANT1,1.9244166549240171,1.1061300669623486e-31,UP Significant
STT3B,1.2993386463706775,1.1196393816083424e-31,UP Significant
TIPRL,1.2340959852896747,1.2571928994865048e-31,UP Significant
HHIP,-1.4096809568360813,1.6509449528952013e-31,DOWN Significant
CDKN2AIPNL,1.5592751392108775,1.8435811066035817e-31,UP Significant
RRM2,2.9991221278287683,1.9271099525774061e-31,UP Significant
MED25,1.306548188624312,2.2899895549631636e-31,UP Significant
TAZ,1.123891628764734,2.3526858726648334e-31,UP Significant
PSMA6,1.2942897664185402,2.4389778379663134e-31,UP Significant
NUP62,1.9051055286186274,2.467122018062377e-31,UP Significant
SPNS1,1.3506228371540612,3.0223868452902413e-31,UP Significant
AIDA,1.3262911945950884,3.2527549118413773e-31,UP Significant
CLN3,1.7081210016116932,3.319930307014538e-31,UP Significant
ATP5MF-PTCD1,1.3238369687753644,4.015942867207515e-31,UP Significant
PTTG1,3.5989045076287987,5.682427865507257e-31,UP Significant
TBC1D16,1.6281655214418647,5.682427865507257e-31,UP Significant
SSR1,1.499302161727658,5.923302043134454e-31,UP Significant
WDR83,1.1271944885854732,7.8420078604444e-31,UP Significant
FASTK,1.0584690343894652,9.34011457333279e-31,UP Significant
SF3B4,1.8708214645009185,1.0692800033597215e-30,UP Significant
ECM1,-3.0683873609288645,1.0930313544306187e-30,DOWN Significant
JKAMP,1.1234367628556252,1.1546394424683507e-30,UP Significant
SNAPIN,1.3183345896807435,1.2139298224674094e-30,UP Significant
ITGA6,2.396010933357412,1.2730119696955626e-30,UP Significant
RAB10,1.1262757822786602,1.314259702443814e-30,UP Significant
UTP15,1.0830346550192287,1.3923835716647996e-30,UP Significant
VIPAS39,1.017890677109158,1.4740282751729655e-30,UP Significant
NME6,1.3165810621147624,1.6273878026210996e-30,UP Significant
TP53I3,2.7225731442283,1.7371682001398142e-30,UP Significant
UBE2T,3.191963771039643,1.8332633624483417e-30,UP Significant
SNRPC,1.5739772562298358,1.922501805446307e-30,UP Significant
FAM220A,1.3544190159070997,2.4619667262224277e-30,UP Significant
BABAM1,1.009666683823835,2.561597883758745e-30,UP Significant
BRD8,1.442297329924489,2.865367877052919e-30,UP Significant
ENAH,2.568418619526353,3.042406303958876e-30,UP Significant
PYGO2,2.02198420605582,4.1285042548099056e-30,UP Significant
SMIM13,1.125120484363377,4.277598710645558e-30,UP Significant
LIN37,1.064514122481456,5.987424549078469e-30,UP Significant
ALG3,1.4066808301265459,6.282529562526524e-30,UP Significant
TPM3,1.6335520758462456,6.336871402388085e-30,UP Significant
ADAR,1.7170979439233522,6.359716785451062e-30,UP Significant
TARDBP,1.2909751674538867,6.697400579985948e-30,UP Significant
DOLK,1.3357691161662948,7.113111688881082e-30,UP Significant
ARPC5,1.5434809940816603,7.553447693682468e-30,UP Significant
TOMM40,1.5347235619848556,8.115857168436308e-30,UP Significant
AGFG1,1.474478650344183,9.629047969407537e-30,UP Significant
SRPRB,1.1422615881204035,9.645259637357557e-30,UP Significant
TAF6,1.7282155746474865,1.106270134517131e-29,UP Significant
EXOC4,1.163170050582686,1.1202293050206714e-29,UP Significant
CCNB1,2.9562057430742747,1.1202293050206714e-29,UP Significant
TMEM183A,1.3823564795846797,1.1202293050206714e-29,UP Significant
UBQLN4,1.8236764376314438,1.1339089264062743e-29,UP Significant
SYPL1,1.2471131884903617,1.4947788013451754e-29,UP Significant
NUP42,1.2040029462456507,1.4947788013451754e-29,UP Significant
GET3,1.366679304327893,1.5549723360489783e-29,UP Significant
DDX39A,1.9447688134180474,1.8674820531857301e-29,UP Significant
SERF1B,1.421313565059491,2.109714181833694e-29,UP Significant
IRAK1,1.9610271563653043,2.3617201635425857e-29,UP Significant
